step,reward,critic_loss,actor_loss,q_mean,logp_mean,sigma_mean,tau_mean,act_sat_frac,n_abort,abort_force_mean,success
21400,-0.0413,0.5106,-45.2782,44.4770,-4.0174,0.1994,0.1020,0.0033,0,0.0000,0.0000
21600,-0.0424,0.3832,-45.6481,44.8388,-4.0540,0.1995,0.1015,0.0026,0,0.0000,0.0000
21800,-0.0404,0.6424,-45.8682,45.0618,-4.0416,0.1995,0.1017,0.0020,0,0.0000,0.0000
22000,-0.0416,0.5106,-46.1450,45.3386,-4.0381,0.1996,0.1013,0.0033,0,0.0000,0.0000
22200,-0.0396,0.5732,-46.4073,45.6010,-4.0438,0.1994,0.1021,0.0026,0,0.0000,0.0000
22400,-0.0401,0.5135,-46.7004,45.8941,-4.0363,0.1997,0.1011,0.0033,0,0.0000,0.0000
22600,-0.0407,0.4193,-46.9366,46.1306,-4.0372,0.1995,0.1015,0.0020,0,0.0000,0.0000
22800,-0.5833,0.2846,-47.1056,46.3026,-4.0281,0.1992,0.1023,0.0013,0,0.0000,0.0000
23000,-0.0461,0.2581,-47.4228,46.6175,-4.0359,0.1994,0.1017,0.0013,0,0.0000,0.0000
23200,-0.0417,0.4351,-47.7747,46.9730,-4.0156,0.1996,0.1016,0.0039,0,0.0000,0.0000
23400,-0.2222,0.3087,-47.9795,47.1738,-4.0313,0.1998,0.1006,0.0020,0,0.0000,0.0000
23600,-0.0393,0.2411,-48.1880,47.3828,-4.0326,0.1996,0.1014,0.0026,0,0.0000,0.0000
23800,-0.0395,0.4187,-48.4150,47.6132,-4.0183,0.1994,0.1020,0.0013,0,0.0000,0.0000
24000,-0.0461,0.2752,-48.7006,47.8967,-4.0263,0.1996,0.1013,0.0026,0,0.0000,0.0000
24200,-0.0390,0.3359,-48.8822,48.0771,-4.0343,0.1995,0.1016,0.0033,0,0.0000,0.0000
24400,-0.0414,0.1153,-49.2802,48.4763,-4.0308,0.1993,0.1023,0.0013,0,0.0000,0.0000
24600,-0.0324,0.2660,-49.4667,48.6603,-4.0402,0.1995,0.1014,0.0046,0,0.0000,0.0000
24800,-0.0382,0.4072,-49.6000,48.7989,-4.0166,0.1992,0.1026,0.0000,0,0.0000,0.0000
25000,-0.0384,0.2210,-49.8893,49.0891,-4.0081,0.1995,0.1014,0.0026,0,0.0000,0.0000
25200,-0.0349,0.2829,-50.1535,49.3493,-4.0285,0.1995,0.1017,0.0033,0,0.0000,0.0000
25400,-0.0372,0.3892,-50.2846,49.4829,-4.0127,0.1998,0.1007,0.0033,0,0.0000,0.0000
25600,-0.0381,0.3171,-50.5313,49.7266,-4.0311,0.1996,0.1012,0.0033,0,0.0000,0.0000
25800,-0.0385,0.2942,-50.7241,49.9189,-4.0311,0.1997,0.1009,0.0046,0,0.0000,0.0000
26000,-0.0392,0.4004,-51.0078,50.1981,-4.0528,0.1998,0.1006,0.0026,0,0.0000,0.0000
26200,-0.0373,0.4032,-51.2015,50.3930,-4.0497,0.1996,0.1016,0.0020,0,0.0000,0.0000
26400,-0.0372,0.4258,-51.3977,50.5977,-4.0071,0.1996,0.1016,0.0020,0,0.0000,0.0000
26600,-0.0382,0.4390,-51.6901,50.8871,-4.0271,0.1994,0.1019,0.0026,0,0.0000,0.0000
26800,-0.0376,0.1081,-51.8967,51.0898,-4.0387,0.1998,0.1007,0.0026,0,0.0000,0.0000
27000,-0.0382,0.4177,-52.0737,51.2684,-4.0304,0.1997,0.1009,0.0020,0,0.0000,0.0000
27200,-0.0372,0.1726,-52.3033,51.5035,-4.0096,0.1994,0.1020,0.0020,0,0.0000,0.0000
27400,-0.0537,0.3568,-52.4907,51.6871,-4.0240,0.1997,0.1010,0.0039,0,0.0000,0.0000
27600,-0.0372,0.3505,-52.6461,51.8412,-4.0353,0.1994,0.1019,0.0026,0,0.0000,0.0000
27800,-0.0378,0.8387,-52.7833,51.9825,-4.0106,0.1996,0.1012,0.0039,0,0.0000,0.0000
28000,-0.0369,0.6580,-53.0403,52.2390,-4.0164,0.1993,0.1021,0.0013,0,0.0000,0.0000
28200,-0.0395,0.7052,-53.1945,52.3931,-4.0148,0.1995,0.1017,0.0046,0,0.0000,0.0000
28400,-0.0382,0.2170,-53.4834,52.6809,-4.0241,0.1993,0.1028,0.0000,0,0.0000,0.0000
28600,-0.0360,0.3513,-53.6593,52.8512,-4.0493,0.1994,0.1020,0.0033,0,0.0000,0.0000
28800,-0.0374,0.3310,-53.8076,53.0016,-4.0426,0.1993,0.1025,0.0000,0,0.0000,0.0000
29000,-0.0375,0.4836,-54.0212,53.2152,-4.0492,0.1990,0.1039,0.0020,0,0.0000,0.0000
29200,-0.0431,0.1169,-54.1516,53.3465,-4.0434,0.1991,0.1038,0.0033,0,0.0000,0.0000
29400,-0.0370,0.1321,-54.4984,53.6965,-4.0160,0.1996,0.1018,0.0020,0,0.0000,0.0000
29600,-0.0418,0.1642,-54.6589,53.8591,-4.0045,0.1997,0.1013,0.0026,0,0.0000,0.0000
29800,-0.6049,0.2192,-54.7895,53.9861,-4.0247,0.1995,0.1017,0.0033,0,0.0000,0.0000
30000,-0.0367,0.6438,-54.9179,54.1154,-4.0226,0.1995,0.1019,0.0026,0,0.0000,0.0000
30200,-0.0373,0.4018,-55.1643,54.3591,-4.0331,0.1996,0.1016,0.0020,0,0.0000,0.0000
