step,reward,critic_loss,actor_loss,q_mean,logp_mean,sigma_mean,tau_mean,act_sat_frac,n_abort,abort_force_mean,success
19800,-0.3348,0.1802,-21.4299,20.6726,-4.0099,0.1888,0.1368,0.0026,0,0.0000,0.0000
20000,-0.3326,0.1350,-21.6168,20.8603,-4.0049,0.1888,0.1372,0.0000,0,0.0000,0.0000
20200,-0.3362,0.1677,-21.8055,21.0560,-3.9835,0.1881,0.1381,0.0026,0,0.0000,0.0000
20400,-0.3257,0.1605,-22.0762,21.3160,-3.9923,0.1903,0.1320,0.0013,0,0.0000,0.0000
20600,-0.3303,0.1242,-22.2231,21.4703,-3.9561,0.1904,0.1307,0.0020,0,0.0000,0.0000
20800,-0.3297,0.0960,-22.4466,21.6967,-3.9550,0.1896,0.1357,0.0020,0,0.0000,0.0000
21000,-0.3328,0.1612,-22.5878,21.8355,-3.9673,0.1896,0.1345,0.0046,0,0.0000,0.0000
21200,-0.3285,0.1615,-22.7895,22.0438,-3.9462,0.1890,0.1386,0.0046,0,0.0000,0.0000
21400,-0.3260,0.1567,-22.9572,22.2037,-3.9723,0.1895,0.1344,0.0020,0,0.0000,0.0000
21600,-0.3262,0.1472,-23.1754,22.4218,-3.9632,0.1902,0.1321,0.0020,0,0.0000,0.0000
21800,-0.3249,0.1816,-23.4361,22.6806,-3.9737,0.1899,0.1331,0.0020,0,0.0000,0.0000
22000,-0.3301,0.1607,-23.5869,22.8279,-3.9726,0.1912,0.1295,0.0026,0,0.0000,0.0000
22200,-0.3330,0.1987,-23.7510,22.9916,-3.9746,0.1909,0.1295,0.0020,0,0.0000,0.0000
22400,-0.3283,0.1453,-23.9537,23.1885,-4.0041,0.1911,0.1293,0.0033,0,0.0000,0.0000
22600,-0.3288,0.1474,-24.0533,23.3043,-3.9681,0.1887,0.1373,0.0020,0,0.0000,0.0000
22800,-0.4083,0.0911,-24.2598,23.4991,-3.9987,0.1901,0.1327,0.0020,0,0.0000,0.0000
23000,-0.3279,0.1338,-24.4530,23.6940,-3.9684,0.1913,0.1292,0.0013,0,0.0000,0.0000
23200,-0.3228,0.1599,-24.6106,23.8540,-3.9615,0.1910,0.1313,0.0020,0,0.0000,0.0000
23400,-0.3878,0.0877,-24.8388,24.0773,-3.9745,0.1917,0.1273,0.0026,0,0.0000,0.0000
23600,-0.3290,0.1582,-24.9815,24.2240,-3.9701,0.1910,0.1297,0.0013,0,0.0000,0.0000
23800,-0.3260,0.1465,-25.1104,24.3571,-3.9221,0.1919,0.1267,0.0013,0,0.0000,0.0000
24000,-0.3721,0.1621,-25.2702,24.5071,-3.9837,0.1915,0.1276,0.0020,0,0.0000,0.0000
24200,-0.3297,0.1121,-25.4489,24.6906,-3.9642,0.1913,0.1285,0.0026,0,0.0000,0.0000
24400,-0.3234,0.0960,-25.7004,24.9350,-3.9843,0.1921,0.1263,0.0013,0,0.0000,0.0000
24600,-0.3506,0.1265,-25.8331,25.0660,-3.9870,0.1923,0.1257,0.0039,0,0.0000,0.0000
24800,-0.3267,0.1552,-25.9135,25.1566,-3.9628,0.1909,0.1295,0.0000,0,0.0000,0.0000
25000,-0.3227,0.0955,-26.1261,25.3676,-3.9536,0.1918,0.1267,0.0013,0,0.0000,0.0000
25200,-0.3417,0.1690,-26.1718,25.4144,-3.9686,0.1908,0.1306,0.0033,0,0.0000,0.0000
25400,-0.3264,0.1617,-26.4224,25.6640,-3.9651,0.1911,0.1301,0.0039,0,0.0000,0.0000
25600,-0.3218,0.1260,-26.4896,25.7315,-3.9708,0.1906,0.1312,0.0039,0,0.0000,0.0000
25800,-0.3336,0.1114,-26.7128,25.9535,-3.9674,0.1913,0.1285,0.0033,0,0.0000,0.0000
26000,-0.3258,0.1432,-26.8331,26.0695,-3.9970,0.1910,0.1306,0.0026,0,0.0000,0.0000
26200,-0.3264,0.1468,-26.9188,26.1614,-3.9816,0.1903,0.1311,0.0020,0,0.0000,0.0000
26400,-0.3291,0.1655,-27.0852,26.3310,-3.9550,0.1904,0.1324,0.0020,0,0.0000,0.0000
26600,-0.3264,0.1300,-27.3704,26.6069,-3.9668,0.1925,0.1249,0.0026,0,0.0000,0.0000
26800,-0.3240,0.1155,-27.4238,26.6637,-3.9868,0.1906,0.1312,0.0007,0,0.0000,0.0000
27000,-0.3244,0.0964,-27.5685,26.8085,-3.9719,0.1915,0.1279,0.0020,0,0.0000,0.0000
27200,-0.3222,0.1189,-27.7487,26.9800,-3.9812,0.1929,0.1227,0.0013,0,0.0000,0.0000
27400,-0.3212,0.1513,-27.8758,27.1233,-3.9381,0.1911,0.1296,0.0026,0,0.0000,0.0000
27600,-0.3262,0.1536,-27.9880,27.2250,-4.0041,0.1905,0.1326,0.0026,0,0.0000,0.0000
27800,-0.3250,0.1929,-28.0714,27.3114,-3.9776,0.1909,0.1296,0.0033,0,0.0000,0.0000
28000,-0.3245,0.1905,-28.2402,27.4789,-3.9680,0.1916,0.1274,0.0020,0,0.0000,0.0000
28200,-0.3238,0.1716,-28.3678,27.6131,-3.9773,0.1895,0.1350,0.0033,0,0.0000,0.0000
28400,-0.3255,0.1249,-28.5774,27.8156,-3.9928,0.1908,0.1305,0.0000,0,0.0000,0.0000
28600,-0.3205,0.1336,-28.6969,27.9313,-3.9993,0.1914,0.1288,0.0020,0,0.0000,0.0000
28800,-0.3202,0.1474,-28.6750,27.9227,-3.9559,0.1900,0.1342,0.0000,0,0.0000,0.0000
29000,-0.3189,0.1496,-28.8642,28.1048,-3.9868,0.1904,0.1316,0.0020,0,0.0000,0.0000
29200,-0.3255,0.0867,-29.0417,28.2803,-3.9815,0.1912,0.1299,0.0026,0,0.0000,0.0000
29400,-0.3235,0.0642,-29.2882,28.5261,-3.9793,0.1914,0.1281,0.0013,0,0.0000,0.0000
29600,-0.3237,0.1143,-29.3045,28.5496,-3.9557,0.1907,0.1299,0.0026,0,0.0000,0.0000
29800,-0.4060,0.0897,-29.4412,28.6788,-3.9635,0.1925,0.1264,0.0026,0,0.0000,0.0000
30000,-0.3216,0.1819,-29.5294,28.7711,-3.9567,0.1915,0.1279,0.0020,0,0.0000,0.0000
30200,-0.3228,0.1054,-29.6559,28.8931,-3.9818,0.1917,0.1274,0.0013,0,0.0000,0.0000
30400,-0.4029,0.1098,-29.8243,29.0657,-3.9493,0.1918,0.1278,0.0046,0,0.0000,0.0000
30600,-0.3201,0.1662,-29.8564,29.0897,-4.0094,0.1913,0.1296,0.0020,0,0.0000,0.0000
30800,-0.3246,0.1391,-30.0801,29.3223,-3.9653,0.1913,0.1282,0.0013,0,0.0000,0.0000
31000,-0.3812,0.1665,-30.1481,29.3964,-3.9632,0.1896,0.1351,0.0020,0,0.0000,0.0000
31200,-0.3207,0.1086,-30.3360,29.5827,-3.9360,0.1911,0.1296,0.0046,0,0.0000,0.0000
31400,-0.3195,0.1088,-30.3764,29.6165,-4.0005,0.1899,0.1337,0.0033,0,0.0000,0.0000
31600,-0.3719,0.2167,-30.4816,29.7210,-3.9574,0.1921,0.1258,0.0033,0,0.0000,0.0000
31800,-0.3198,0.1343,-30.7026,29.9421,-3.9561,0.1922,0.1249,0.0007,0,0.0000,0.0000
32000,-0.3212,0.1731,-30.7358,29.9740,-3.9663,0.1920,0.1267,0.0026,0,0.0000,0.0000
32200,-0.3473,0.2645,-30.8473,30.0744,-4.0139,0.1926,0.1241,0.0013,0,0.0000,0.0000
32400,-0.3232,0.1721,-30.9609,30.2037,-3.9425,0.1920,0.1269,0.0039,0,0.0000,0.0000
32600,-0.3184,0.0854,-31.0787,30.3204,-3.9744,0.1906,0.1314,0.0020,0,0.0000,0.0000
32800,-0.3403,0.1304,-31.2109,30.4520,-3.9698,0.1911,0.1290,0.0026,0,0.0000,0.0000
33000,-0.3159,0.1604,-31.3547,30.5932,-3.9611,0.1921,0.1258,0.0020,0,0.0000,0.0000
33200,-0.3191,0.1297,-31.4121,30.6597,-3.9333,0.1914,0.1288,0.0007,0,0.0000,0.0000
33400,-0.3269,0.1817,-31.4758,30.7110,-3.9855,0.1922,0.1248,0.0013,0,0.0000,0.0000
33600,-0.3215,0.1433,-31.6526,30.8805,-4.0180,0.1921,0.1260,0.0020,0,0.0000,0.0000
33800,-0.3199,0.1228,-31.7702,31.0155,-3.9398,0.1914,0.1288,0.0000,0,0.0000,0.0000
34000,-0.3234,0.1707,-31.8537,31.0903,-3.9938,0.1908,0.1310,0.0013,0,0.0000,0.0000
34200,-0.3188,0.1546,-31.9179,31.1489,-4.0029,0.1922,0.1254,0.0026,0,0.0000,0.0000
34400,-0.3162,0.1228,-32.0746,31.3174,-3.9550,0.1916,0.1275,0.0013,0,0.0000,0.0000
34600,-0.3244,0.1015,-32.1787,31.4133,-3.9839,0.1920,0.1262,0.0026,0,0.0000,0.0000
34800,-0.3206,0.0954,-32.2591,31.5050,-3.9606,0.1906,0.1316,0.0059,0,0.0000,0.0000
35000,-0.3232,0.1128,-32.3829,31.6215,-3.9719,0.1916,0.1276,0.0000,0,0.0000,0.0000
35200,-0.3201,0.1540,-32.4674,31.7064,-3.9606,0.1920,0.1258,0.0039,0,0.0000,0.0000
35400,-0.3212,0.2403,-32.5388,31.7784,-3.9721,0.1915,0.1289,0.0052,0,0.0000,0.0000
35600,-0.3203,0.1293,-32.6103,31.8487,-3.9741,0.1917,0.1269,0.0020,0,0.0000,0.0000
35800,-0.3213,0.1262,-32.7930,32.0300,-3.9697,0.1924,0.1242,0.0026,0,0.0000,0.0000
36000,-0.3204,0.1524,-32.8170,32.0595,-3.9766,0.1904,0.1318,0.0007,0,0.0000,0.0000
36200,-0.3188,0.0864,-32.9915,32.2272,-3.9772,0.1922,0.1253,0.0020,0,0.0000,0.0000
36400,-0.3196,0.1504,-32.9584,32.1994,-3.9707,0.1910,0.1291,0.0026,0,0.0000,0.0000
36600,-0.3257,0.1534,-33.1259,32.3602,-3.9730,0.1928,0.1240,0.0039,0,0.0000,0.0000
36800,-0.3211,0.1072,-33.2651,32.4993,-3.9747,0.1926,0.1245,0.0013,0,0.0000,0.0000
37000,-0.3217,0.1172,-33.3318,32.5675,-3.9752,0.1923,0.1253,0.0026,0,0.0000,0.0000
37200,-0.3188,0.0651,-33.4760,32.7191,-3.9358,0.1922,0.1254,0.0033,0,0.0000,0.0000
37400,-0.4112,0.1334,-33.4873,32.7300,-3.9323,0.1925,0.1247,0.0033,0,0.0000,0.0000
37600,-0.3160,0.1245,-33.5641,32.8093,-3.9542,0.1908,0.1290,0.0013,0,0.0000,0.0000
37800,-0.3232,0.1168,-33.7392,32.9777,-3.9738,0.1915,0.1282,0.0033,0,0.0000,0.0000
38000,-0.4017,0.1238,-33.7629,33.0021,-3.9399,0.1930,0.1221,0.0026,0,0.0000,0.0000
38200,-0.3200,0.1581,-33.8902,33.1312,-3.9359,0.1926,0.1250,0.0007,0,0.0000,0.0000
38400,-0.3161,0.1469,-33.9511,33.1799,-3.9979,0.1929,0.1228,0.0000,0,0.0000,0.0000
38600,-0.3800,0.2124,-34.0118,33.2464,-3.9890,0.1919,0.1255,0.0020,0,0.0000,0.0000
38800,-0.3196,0.1692,-34.1093,33.3494,-3.9596,0.1918,0.1254,0.0000,0,0.0000,0.0000
39000,-0.3217,0.1248,-34.1853,33.4176,-4.0021,0.1917,0.1269,0.0000,0,0.0000,0.0000
39200,-0.3630,0.1341,-34.2892,33.5271,-3.9706,0.1919,0.1272,0.0039,0,0.0000,0.0000
39400,-0.3203,0.1761,-34.3365,33.5749,-3.9761,0.1915,0.1283,0.0020,0,0.0000,0.0000
39600,-0.3185,0.2079,-34.4118,33.6426,-3.9864,0.1929,0.1240,0.0046,0,0.0000,0.0000
39800,-0.3452,0.0780,-34.5485,33.7903,-3.9467,0.1922,0.1259,0.0020,0,0.0000,0.0000
40000,-0.3206,0.0912,-34.6010,33.8461,-3.9547,0.1911,0.1292,0.0013,0,0.0000,0.0000
40200,-0.3193,0.1193,-34.7178,33.9431,-4.0050,0.1935,0.1208,0.0026,0,0.0000,0.0000
40400,-0.3339,0.2497,-34.7612,34.0043,-3.9361,0.1922,0.1259,0.0026,0,0.0000,0.0000
40600,-0.3233,0.1771,-34.8127,34.0514,-3.9658,0.1920,0.1266,0.0026,0,0.0000,0.0000
40800,-0.3242,0.1385,-34.9634,34.1980,-3.9936,0.1917,0.1274,0.0013,0,0.0000,0.0000
41000,-0.3252,0.1843,-34.9490,34.1893,-3.9652,0.1917,0.1272,0.0026,0,0.0000,0.0000
41200,-0.3182,0.1097,-35.0869,34.3226,-3.9643,0.1927,0.1246,0.0026,0,0.0000,0.0000
41400,-0.3190,0.1237,-35.1467,34.3865,-3.9644,0.1916,0.1281,0.0020,0,0.0000,0.0000
41600,-0.3230,0.0588,-35.2910,34.5264,-3.9801,0.1920,0.1268,0.0020,0,0.0000,0.0000
41800,-0.3164,0.0991,-35.4150,34.6524,-3.9449,0.1933,0.1210,0.0026,0,0.0000,0.0000
42000,-0.3185,0.0786,-35.3384,34.5694,-3.9916,0.1926,0.1240,0.0026,0,0.0000,0.0000
42200,-0.3194,0.1381,-35.4218,34.6554,-3.9724,0.1929,0.1228,0.0013,0,0.0000,0.0000
42400,-0.3192,0.1321,-35.5675,34.8022,-3.9771,0.1923,0.1243,0.0026,0,0.0000,0.0000
42600,-0.3191,0.1552,-35.5658,34.8023,-3.9826,0.1916,0.1275,0.0039,0,0.0000,0.0000
42800,-0.3192,0.2033,-35.5981,34.8437,-3.9559,0.1908,0.1304,0.0013,0,0.0000,0.0000
43000,-0.3169,0.1431,-35.6927,34.9254,-3.9761,0.1930,0.1231,0.0020,0,0.0000,0.0000
43200,-0.3215,0.0627,-35.7945,35.0316,-3.9619,0.1925,0.1236,0.0039,0,0.0000,0.0000
43400,-0.3166,0.1560,-35.8560,35.0907,-3.9704,0.1925,0.1241,0.0020,0,0.0000,0.0000
43600,-0.3147,0.1256,-35.9186,35.1563,-3.9687,0.1920,0.1257,0.0007,0,0.0000,0.0000
43800,-0.3159,0.1855,-36.0431,35.2868,-3.9432,0.1917,0.1266,0.0013,0,0.0000,0.0000
44000,-0.3192,0.1051,-36.1113,35.3452,-3.9761,0.1923,0.1257,0.0007,0,0.0000,0.0000
44200,-0.3208,0.1285,-36.0961,35.3397,-3.9558,0.1910,0.1295,0.0020,0,0.0000,0.0000
44400,-0.3186,0.1999,-36.1592,35.3901,-3.9969,0.1925,0.1237,0.0026,0,0.0000,0.0000
44600,-0.3161,0.1111,-36.2550,35.4884,-3.9672,0.1932,0.1214,0.0007,0,0.0000,0.0000
44800,-0.3184,0.0739,-36.3290,35.5663,-3.9863,0.1912,0.1288,0.0033,0,0.0000,0.0000
45000,-0.4053,0.1255,-36.4488,35.6771,-3.9713,0.1942,0.1190,0.0026,0,0.0000,0.0000
45200,-0.3154,0.1861,-36.4578,35.6970,-3.9580,0.1923,0.1246,0.0000,0,0.0000,0.0000
45400,-0.3166,0.1759,-36.4745,35.7160,-3.9620,0.1912,0.1290,0.0013,0,0.0000,0.0000
45600,-0.3960,0.1221,-36.5527,35.7855,-3.9757,0.1929,0.1219,0.0026,0,0.0000,0.0000
45800,-0.3190,0.1035,-36.6562,35.8843,-3.9820,0.1937,0.1202,0.0007,0,0.0000,0.0000
46000,-0.3181,0.1455,-36.6451,35.8811,-3.9844,0.1917,0.1274,0.0026,0,0.0000,0.0000
