time_s,index_joint0_target_rad,middle_joint0_target_rad,pinky_joint0_target_rad,ring_joint0_target_rad,thumb_joint0_target_rad,index_joint1_target_rad,middle_joint1_target_rad,pinky_joint1_target_rad,ring_joint1_target_rad,thumb_joint1_target_rad,index_joint2_target_rad,thumb_joint2_target_rad
5.95000,0.134887,0.110119,1.085900,0.337900,1.830000,0.670044,1.185630,0.777516,1.445687,-0.325602,1.610380,1.018531
6.00000,0.160581,0.043642,1.575809,0.119555,0.664293,0.992747,1.642431,0.650770,1.119922,-0.767082,1.619048,0.216242
6.05000,0.172867,0.000000,1.798381,0.090857,0.255242,1.608637,1.305668,1.456790,1.618272,-0.041349,0.576907,1.048473
6.10000,0.103626,1.292247,1.896021,0.000000,0.066873,1.698366,1.418904,1.374205,1.842243,0.419777,0.203271,1.167449
6.15000,-0.000275,1.721083,1.920000,0.454471,1.074661,1.352394,1.298764,1.377558,1.864025,0.567492,0.069312,1.119157
6.20000,0.006107,1.636177,1.897059,0.921285,1.469748,0.726851,1.006313,1.748686,1.918458,0.972884,0.147407,1.551592
6.25000,0.010100,0.944984,1.365188,1.115355,1.788240,0.264093,0.665493,1.863668,1.920000,0.912524,0.946663,1.753717
6.30000,0.065855,0.322856,1.092573,0.718726,1.819177,0.218839,0.876435,1.250243,1.908147,0.356319,1.323863,1.694366
6.35000,0.136645,0.347614,1.047627,0.195893,1.830000,0.873223,1.164292,0.745717,1.628478,-0.143757,1.620029,1.131777
6.40000,0.161529,0.147148,1.510942,0.270853,0.940142,1.156236,1.346935,0.658524,1.336833,-0.738157,1.508701,0.457903
6.45000,0.170376,0.037804,1.747030,0.186375,0.343312,1.460922,1.508180,1.507438,1.483549,-0.491272,0.469896,0.917568
6.50000,0.169320,0.743349,1.824744,0.009236,0.199570,1.526910,1.432203,0.882312,1.591030,0.213955,0.165830,1.115183
6.55000,0.037063,1.246526,1.877903,0.010523,1.049421,1.677785,1.142246,1.161169,1.558133,0.391009,0.033985,1.287292
6.60000,-0.018439,1.398356,1.920000,0.424629,1.138847,1.396342,1.242768,1.573325,1.763242,0.861320,0.000000,1.597027
6.65000,-0.059851,1.297171,1.905481,0.771775,1.564194,0.495094,1.241467,1.778579,1.823794,1.106635,0.118167,1.778563
6.70000,-0.053891,0.665701,1.095234,0.825858,1.766722,0.159080,0.933350,1.912003,1.838171,0.976742,0.772155,1.830000
6.75000,0.042576,0.160681,1.166985,0.453164,1.809159,0.301484,1.006871,0.874664,1.875425,0.275362,1.001152,1.558913
6.80000,0.125854,0.058428,1.092462,0.150816,1.830000,0.977449,0.960095,0.510697,1.693605,-0.399505,1.145891,0.702103
6.85000,0.151054,0.093497,1.619117,0.061062,1.713076,1.564507,0.953455,0.490038,1.505727,-0.163098,0.734290,0.597579
6.90000,0.169180,0.562571,1.819578,0.339892,1.504644,1.742285,0.744412,1.088286,1.512461,0.344907,0.271989,1.173077
6.95000,0.076181,1.155057,1.864964,0.451771,1.721688,0.937400,1.203767,1.599589,1.708930,-0.174688,0.057360,1.228428
7.00000,0.060573,0.724283,1.527031,0.785158,1.781221,1.411700,0.798811,1.144727,1.638208,-0.130012,0.376327,1.138750
7.05000,0.039177,0.603913,1.786669,1.020103,1.827179,1.745031,0.865229,1.028280,1.522949,-0.283834,0.504066,0.881369
7.10000,0.105372,1.061478,1.864808,1.037085,1.830000,1.885841,0.852089,0.820735,1.082846,0.250842,0.120092,0.921131
7.15000,0.065422,0.380346,1.674135,0.847426,1.829884,1.759473,0.582581,1.140976,1.123671,0.709236,0.231935,1.096682
